,kcat,MW,kcat_MW
TPI,259200.0,53.9436,4805.018574956065
TPI_reverse,132458.5014,53.9436,2455.499844281805
HYD2pp,7210616.458,181.7482,39673.660911084684
ATPS4rpp,6754830.2710000025,530.0127,12744.657384624936
MDH,3527782.8494399996,64.6746,54546.65122691133
PPTHpp,6160798.267000001,98.8772,62307.57208942001
GGGABAH,5814339.581,56.0261,103779.12403326307
PSP_L,5331600.0,35.0427,152145.81068239606
HYD1pp,5271939.547,181.7482,29006.832238228497
PGK,81612.68645,41.1182,1984.8312049165568
RPI_reverse,85593.19064,32.1466,2662.5892206329754
RPI,71002.38272000001,32.1466,2208.705826432656
PDH,1215397.782,4079.7264,297.91159083609136
RPE_reverse,108366.9572,24.5542,4413.377638041557
RPE,198533.1876,24.5542,8085.508287787832
THD2pp,2171332.143,206.6929,10505.112381702516
FUM,4014125.33112,120.2106,33392.44069258452
CYTBO3_4pp,2052552.006,143.9313,14260.636887181594
MDH_reverse,11663.48336,64.6746,180.3410204315141
CFAS180E,1612231.501,87.818,18358.781810107263
NO3R2pp,1547926.092,250.963,6167.945442156812
SDPDS,1540800.0,82.538,18667.7651505973
DHAD1,1512000.0,131.0631,11536.427873291568
GMHEPK,1502082.994,102.1012,14711.70754114545
ICL,694642.9091040001,190.0863,3654.355464354875
AKGDH,1991168.2908,2418.391,823.3442362297908
ACOAD3f_reverse,1281600.0,89.2244,14363.783897678213
ACOAD2f_reverse,1281600.0,89.2244,14363.783897678213
ACOAD5f_reverse,1281600.0,89.2244,14363.783897678213
ACOAD4f_reverse,1281600.0,89.2244,14363.783897678213
GHMT2r,11520.0,90.6332,127.10574050127329
GUI2_reverse,1106757.021,53.9872,20500.35973341829
FADRx,1090800.0,26.242,41566.953738282136
MC6PH,1075510.261,202.05,5322.990650829002
NTRIR3pp,1003797.469,134.0271,7489.511218253622
PFK,1000800.0,64.91199999999999,15417.796401281734
ACOAD6f_reverse,1000800.0,89.2244,11216.662706613886
NADH16pp,700176.037,540.4142,1295.6284956982995
G6PDH2r,558000.0,55.7044,10017.16201951731
NADPHXE_reverse,922865.2178,54.65,16886.829236962487
RPNTPH,863642.4721,42.01,20558.021235420143
ACGS,820800.0,295.1711,2780.760040532424
UPLA4FNF,772257.6065,33.1118,23322.731065662392
NTRIR4pp,752249.2273,134.0271,5612.66510504219
MMM,728300.542,155.7425,4676.312130600189
GLUDy_reverse,666000.0,291.4882,2284.826624199539
PGL,662400.0,36.3076,18244.114179951303
UDPGALM,651626.1936,42.9659,15166.124615101744
HSDy_reverse,638760.4157,177.7754,3593.075395695918
ASPK,631361.1827,97.0635,6504.619993097303
PGK_reverse,151200.0,41.1182,3677.203768647461
AMANAPEr_reverse,586980.0616,24.0737,24382.62758113626
AGPAT161,576000.0,27.4532,20981.160666151853
ACONTa,1258347.6345600002,186.9962,6729.268480108153
ACONTb_reverse,58615.67725,186.9962,313.4591892776432
ACONTa_reverse,34269.90152,186.9962,183.26522956081462
ACONTb,1258347.6345600002,186.9962,6729.268480108153
AIRC2,554400.0,78.9222,7024.639455058273
PTAr,547821.7643,72.1335,7594.554046316899
CS,340263.363096,288.0899,1181.1013266900366
ME2,979321.2631199999,494.5043,1980.4100047663892
DHAD2,500400.0,131.0631,3818.008272351257
AGPAT160,489600.0,27.4532,17833.986566229076
XTSNH,482024.5754,32.5608,14803.830845679466
GND,79200.0,102.9626,769.2113447018628
FA141ACPHi,467514.5519,22.9611,20361.15656044353
ACOAD7f_reverse,460800.0,89.2244,5164.506569951717
ACOAD1f,434993.0386,89.2244,4875.269977719099
PYK,427444.7782,202.9177,2106.4933132989386
ACOAD2f,426233.6705,89.2244,4777.097638090029
GAPD,838827.95328,142.13,5901.836018293112
PTAr_reverse,420628.6411,72.1335,5831.252345997354
ENO,86400.0,91.3099,946.2281746010016
MI1PP,404041.0784,29.1721,13850.256868720457
GARFT,403200.0,23.2383,17350.66678715741
NO3R1pp,401469.1895,250.963,1599.714657140694
ATPS4rpp_reverse,394887.4078,530.0127,745.0527276044518
SUCDi,849427.47936,355.0752,2392.24671100657
MCTP1Bpp,374951.4102,36.082,10391.647087190287
ACOAD3f,374885.7826,89.2244,4201.606092055536
PPS,370888.9427,174.8702,2120.938517254512
SUCOAS_reverse,514908.776592,142.3403,3617.4490048988227
PGI,255600.0,123.0595,2077.044031545716
PGI_reverse,323462.6992,123.0595,2628.506528955505
GMHEPAT,348334.2784,102.1012,3411.6570461463725
ACALD,347838.2822,33.4425,10401.084912910219
CYANST,331771.8227,24.1649,13729.49288844564
TKT2,324065.5255,73.0427,4436.658632553287
ACOAD8f_reverse,323145.3704,89.2244,3621.7152527783883
LPLIPAL1A160pp,313499.2089,94.4886,3317.852194867952
PPA,303342.6722,26.9004,11276.511583470876
DAPE,302400.0,60.4171,5005.205479905524
HSK,291600.0,67.2473,4336.233573689949
GMHEPPA,283427.0473,21.2942,13310.058480713056
DHQS,280800.0,38.881,7222.036470255394
DASYN161,280800.0,31.4538,8927.379203784598
FBP,274394.2568,29.721,9232.335951011071
UGCIAMH,257942.8563,28.73,8978.171120779672
GLCP2,256439.2924,181.0448,1416.441081986337
PAPPT3,252000.0,39.8748,6319.78091426164
MTHFC,248400.0,62.0875,4000.8053150795254
MTHFD,248400.0,62.0875,4000.8053150795254
PGM_reverse,242966.3202,56.1939,4323.713431529045
ACLS,241177.3205,143.0927,1685.4620850679314
X5PL3E,240986.0357,32.0066,7529.26070560447
DASYN160,237600.0,31.4538,7553.936249356198
AADDGT,231887.7737,40.6396,5705.956104390791
LALGP,231021.2838,105.8308,2182.9305249511485
ACOAD5f,223003.5589,89.2244,2499.356217581738
GLBRAN2,221256.5004,84.3369,2623.4839127357063
GLUPRT,219600.0,225.9522,971.886974324658
NTPP9,219466.3262,42.0777,5215.739600786165
ALLTAMH2,218031.9588,91.388,2385.7832406880552
DHQTi,212400.0,54.9333,3866.507200550486
MOAT,212400.0,47.2911,4491.331349873443
MOAT2,212400.0,47.2911,4491.331349873443
PGM,164087.7094,56.1939,2920.0270741130266
PFK_3,208800.0,139.3682,1498.1896874609847
ACOAD6f,208640.9014,89.2244,2338.383910679141
PFL,66265.40938,114.1398,580.5635666086678
CRNCAR,203054.0799,28.1902,7203.002458301112
CTECOAI7_reverse,198000.0,159.1878,1243.8139103624776
MDDEP2pp,194468.9023,21.04,9242.818550380229
NTRIR2x,194253.4062,105.4053,1842.9187735341586
ICDHyr,948166.2432000001,91.5134,10360.955261196723
CAT,190740.2702,320.0953,595.8858821107339
G6PDH2r_reverse,27844.11588,55.7044,499.8548746598114
LPADSS,187200.0,84.7649,2208.46128527256
ACOAD4f,185797.065,89.2244,2082.3571242843886
GDPTPDP,184851.3609,79.3424,2329.792908961665
TKT1,182904.1236,73.0427,2504.071229568458
GLUDy,180117.9189,291.4882,617.9252501473472
ACKr_reverse,178357.4108,42.4337,4203.201955049878
DSBGGT,176926.5936,54.99,3217.4321440261865
ACONMT,176845.203,29.006,6096.849031234917
P5CD,176721.467,287.6303,614.4049044902432
XYHDL,174757.0033,528.474,330.68231038802287
NO3R1bpp,174653.5775,189.2373,922.9342074738963
MAN1PT2,174021.8972,53.0163,3282.422522884472
RNDR4b,173713.9787,242.982,714.9252977586818
DDGLK,171581.3307,33.9624,5052.096751112995
ACOAD7f,168849.2482,89.2244,1892.4111364155995
ACKr,168823.2518,42.4337,3978.5182955999603
4HTHRA,168654.009,145.9788,1155.3322057723449
3OAR120_reverse,168004.9209,102.2412,1643.2213324960974
FHL,166094.0433,311.4924,533.2202111512191
PPC,165600.0,396.2504,417.9175591999402
PHETA1,163144.9555,87.0756,1873.6012786590047
PPM,158919.1397,44.37,3581.679957178274
TDP,157841.5063,17.4329,9054.231154885303
UAPGR,154800.0,37.851,4089.7202187524767
FACOAE161,154800.0,127.8653,1210.649018928513
MDDCP5pp,152010.8959,41.849,3632.3662668164116
G6PDA,151224.2552,178.6452,846.5061205114945
GK1,151200.0,47.1854,3204.38101616178
CHORS,151200.0,156.5498,965.8268487088452
ALLTN,150250.7634,198.4064,757.2878868826813
TKT2_reverse,149806.8491,73.0427,2050.948953146584
FACOAE100,148841.6558,127.8653,1164.0504171186394
ALCD19_reverse,147353.7592,141.5183,1041.2346615243398
PPM2,146884.0402,44.37,3310.4358846067157
CITL,144633.9099,614.1003,235.5216401946067
DAPDC,144000.0,92.3545,1559.2093509249685
ACALD_reverse,142688.5307,33.4425,4266.682535695597
GUAD,142271.6549,50.2442,2831.6035462799687
DDPA,140719.9588,77.4701,1816.44219899032
MDH3,139494.2586,60.2296,2316.041590845697
SERAT,136800.0,175.8998,777.7154948442238
GLUSy,135501.647,861.2489999999998,157.33155800471175
GHBDHx_reverse,135145.7337,124.6326,1084.352999937416
NADH17pp,134714.4577,540.4142,249.2800109619621
SERASr_reverse,133230.4814,141.991,938.3022966244338
GAPD_reverse,56839.88531000001,142.13,399.9147633152748
ASPK_reverse,131867.8614,97.0635,1358.5731134772595
GDMANE,130011.786,72.2823,1798.6669765627264
FACOAE160,129600.0,127.8653,1013.5666204982899
